|USER      |PASSWORD|TRAVEL_DATE|DESTINATION|
|USER_01|PASS_01     |05/19/2016      |LPAZ|
|USER_02|PASS_02     |11/19/2016      |CBBA|
|USER_03|PASS_03     |12/04/2016      |CBBA|
|USER_04|PASS_04     |12/12/2016      |SCRE|
|USER_05|PASS_05     |01/29/2017      |CBBA|
|USER_06|PASS_06     |11/10/2016      |LPAZ|
|USER_07|PASS_07     |08/15/2016      |LPAZ|
|USER_08|PASS_08     |07/29/2016      |CBBA|
|USER_09|PASS_09     |07/21/2016      |LPAZ|
|USER_10|PASS_10     |07/11/2016      |TJA|
|USER_11|PASS_11     |09/21/2016      |ORURO|
|USER_12|PASS_12     |08/06/2016      |BENI|
|USER_13|PASS_13     |01/31/2017      |SCRE|
|USER_14|PASS_14     |06/21/2016      |TJA|
|USER_15|PASS_15     |03/23/2017      |PANDO|
|USER_16|PASS_16     |01/16/2017      |BENI|
|USER_17|PASS_17     |06/05/2016      |SCRE|
|USER_18|PASS_18     |12/25/2016      |LPAZ|
|USER_19|PASS_19     |03/26/2017      |ORURO|
|USER_20|PASS_20     |06/03/2016      |CBBA|
|USER_21|PASS_21     |09/06/2016      |LPAZ|
|USER_22|PASS_22     |02/19/2017      |PTSI|
|USER_23|PASS_23     |11/15/2016      |ORURO|
|USER_24|PASS_24     |05/27/2016      |PANDO|
|USER_25|PASS_25     |07/03/2016      |STCRZ|
|USER_26|PASS_26     |12/15/2016      |ORURO|
|USER_27|PASS_27     |01/25/2017      |ORURO|
|USER_28|PASS_28     |11/18/2016      |ORURO|
|USER_29|PASS_29     |08/08/2016      |PANDO|
|USER_30|PASS_30     |06/18/2016      |STCRZ|
|USER_31|PASS_31     |09/26/2016      |PANDO|
|USER_32|PASS_32     |10/06/2016      |PANDO|
|USER_33|PASS_33     |10/05/2016      |PANDO|
|USER_34|PASS_34     |10/10/2016      |SCRE|
|USER_35|PASS_35     |01/08/2017      |PTSI|
|USER_36|PASS_36     |03/05/2017      |BENI|
|USER_37|PASS_37     |12/12/2016      |BENI|
|USER_38|PASS_38     |11/17/2016      |ORURO|
|USER_39|PASS_39     |10/08/2016      |TJA|
|USER_40|PASS_40     |09/08/2016      |LPAZ|
|USER_41|PASS_41     |01/20/2017      |PANDO|
|USER_42|PASS_42     |05/10/2016      |PANDO|
|USER_43|PASS_43     |09/19/2016      |PTSI|
|USER_44|PASS_44     |08/25/2016      |TJA|
|USER_45|PASS_45     |03/04/2017      |LPAZ|
|USER_46|PASS_46     |04/14/2017      |CBBA|
|USER_47|PASS_47     |02/22/2017      |ORURO|
|USER_48|PASS_48     |12/21/2016      |SCRE|
|USER_49|PASS_49     |09/03/2016      |PTSI|
|USER_50|PASS_50     |10/03/2016      |SCRE|
|USER_51|PASS_51     |04/07/2017      |LPAZ|
|USER_52|PASS_52     |08/07/2016      |TJA|
|USER_53|PASS_53     |07/13/2016      |BENI|
|USER_54|PASS_54     |08/21/2016      |TJA|
|USER_55|PASS_55     |01/14/2017      |STCRZ|
|USER_56|PASS_56     |02/04/2017      |PTSI|
|USER_57|PASS_57     |04/30/2017      |SCRE|
|USER_58|PASS_58     |01/13/2017      |CBBA|
|USER_59|PASS_59     |03/23/2017      |STCRZ|
|USER_60|PASS_60     |11/08/2016      |PTSI|
|USER_61|PASS_61     |11/29/2016      |STCRZ|
|USER_62|PASS_62     |09/02/2016      |ORURO|
|USER_63|PASS_63     |08/07/2016      |PANDO|
|USER_64|PASS_64     |09/18/2016      |BENI|
|USER_65|PASS_65     |03/10/2017      |SCRE|
|USER_66|PASS_66     |05/27/2016      |STCRZ|
|USER_67|PASS_67     |04/04/2017      |ORURO|
|USER_68|PASS_68     |08/08/2016      |STCRZ|
|USER_69|PASS_69     |10/17/2016      |TJA|
|USER_70|PASS_70     |07/26/2016      |ORURO|
|USER_71|PASS_71     |02/05/2017      |PANDO|
|USER_72|PASS_72     |06/28/2016      |PANDO|
|USER_73|PASS_73     |03/16/2017      |CBBA|
|USER_74|PASS_74     |03/15/2017      |ORURO|
|USER_75|PASS_75     |02/23/2017      |PANDO|
|USER_76|PASS_76     |08/03/2016      |TJA|
|USER_77|PASS_77     |02/16/2017      |SCRE|
|USER_78|PASS_78     |04/14/2017      |ORURO|
|USER_79|PASS_79     |12/11/2016      |LPAZ|
|USER_80|PASS_80     |06/03/2016      |SCRE|
|USER_81|PASS_81     |11/07/2016      |CBBA|
|USER_82|PASS_82     |05/02/2017      |ORURO|
|USER_83|PASS_83     |11/23/2016      |PANDO|
|USER_84|PASS_84     |05/29/2016      |SCRE|
|USER_85|PASS_85     |07/23/2016      |PANDO|
|USER_86|PASS_86     |07/11/2016      |STCRZ|
|USER_87|PASS_87     |01/15/2017      |BENI|
|USER_88|PASS_88     |02/10/2017      |PANDO|
|USER_89|PASS_89     |09/14/2016      |STCRZ|
|USER_90|PASS_90     |05/04/2017      |ORURO|
|USER_91|PASS_91     |11/12/2016      |SCRE|
|USER_92|PASS_92     |04/04/2017      |PTSI|
|USER_93|PASS_93     |01/13/2017      |TJA|
|USER_94|PASS_94     |01/10/2017      |BENI|
|USER_95|PASS_95     |11/13/2016      |STCRZ|
|USER_96|PASS_96     |01/01/2017      |CBBA|
|USER_97|PASS_97     |01/25/2017      |SCRE|
|USER_98|PASS_98     |02/03/2017      |PTSI|
|USER_99|PASS_99     |07/16/2016      |BENI|
|USER_100|PASS_100     |01/26/2017      |LPAZ|
